conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.79677184672735E+018,Sat Jun 01 14:43:41 +0000 2024,0,@collegemenfess 8 aamiin pls tidak siap bayar ukt lg dikeluarkan dr fast track alias untuk apa 1 tahunku meraung ????!,1.79691552695618E+018,,collegemenfess,in,,0,0,0,https://x.com/lilulilikecyil/status/1796915526956175507,1.23771823427657E+018,lilulilikecyil
1.79678973603791E+018,Sat Jun 01 14:42:53 +0000 2024,1,@detikcom Yang rasis ke minoritas bubarin ibadah larang bangun gereja org doa rosario dirusuhin ukt mahal pengangguran banyak kriminalitas tinggi dan ragam problem di negeri ini gmn ya pak? Yg deket2 aja dlu yuk dibenahin,1.79691532615806E+018,,detikcom,in,Indonesia,0,0,0,https://x.com/kikooott/status/1796915326158061831,2313098485,kikooott
1.79691489049146E+018,Sat Jun 01 14:41:09 +0000 2024,0,sumpah syarat sidang di kampusnya temenku harus ngumpulin bukti pembayaran ukt dari smt 1-8 anjir,1.79691489049146E+018,,,in,he/him,0,1,0,https://x.com/polcanisme/status/1796914890491457850,1.37524391565832E+018,polcanisme
1.79677934700276E+018,Sat Jun 01 14:40:21 +0000 2024,0,@tempodotco Polanya sama seperti UKT kemarin. Kalo rakyat slow bae bakal lanjut rencana mereka.,1.79691468948371E+018,,tempodotco,in,,0,0,0,https://x.com/Budigungun2/status/1796914689483714697,1.20546283001248E+018,Budigungun2
1.79691324485625E+018,Sat Jun 01 14:34:37 +0000 2024,0,Thanks to wifi halte UI aku bisa mengerjakan uas dengan lancar hingga 80%. Ini lah bentuk aliran dana seharusnya dari UKT yang kubayar,1.79691324485625E+018,,,in,,0,0,0,https://x.com/EsteIer77/status/1796913244856254516,1.37429226650476E+018,EsteIer77
1.79691049919775E+018,Sat Jun 01 14:25:09 +0000 2024,1,@um_fess masih jauh pas masa pembayaran ukt jga bisa,1.79691086430364E+018,,um_fess,in,"Malang, Jawa Timur",0,1,0,https://x.com/arusslaut/status/1796910864303636589,1.55982585161699E+018,arusslaut
1.79690707684286E+018,Sat Jun 01 14:24:37 +0000 2024,13,@collegemenfess Gue malah lebih enjoy pas jadi jobseeker soalnya ga mikirin buat bayar UKT lagi wkwkwkw,1.79691072966643E+018,,collegemenfess,in,,0,0,0,https://x.com/levelupprjct/status/1796910729666429029,1.47140183466943E+018,levelupprjct
1.79686832844063E+018,Sat Jun 01 14:24:19 +0000 2024,0,@collegemenfess Sama nder punyaku juga ga bagus-bagus amat tp aku tim nekat. Kalo nunda terus malah berujung bayar UKT lagi.,1.79691065318327E+018,,collegemenfess,in,,0,0,0,https://x.com/chachachaeeeeee/status/1796910653183270945,1.4717546374809E+018,chachachaeeeeee
1.79691049919775E+018,Sat Jun 01 14:23:42 +0000 2024,0,halo maaf yaa aku mau tanyaa um! pengajuan cicilan ukt dimulai dari kapan yaa?,1.79691049919775E+018,,,in,pp/krim fess? cek linkâ€¼ï¸ðŸ˜ ðŸ‘‰ðŸ»,0,1,0,https://x.com/um_fess/status/1796910499197747588,7.407622506134E+017,um_fess
1.79608987383076E+018,Sat Jun 01 14:22:59 +0000 2024,0,@kikysaputrii Info loker jadi buzzer dong. Buat bayar ukt.,1.79691031854914E+018,,kikysaputrii,in,J-town ,0,2,0,https://x.com/Alifemhrz/status/1796910318549139743,3016621087,Alifemhrz
1.79690989100699E+018,Sat Jun 01 14:22:00 +0000 2024,0,Apa pihak departemen yg bayarin? Secara kan bayar ukt hmmm,1.79691006965919E+018,,pnddkbumi20,in,,0,0,0,https://x.com/pnddkbumi20/status/1796910069659185579,1.09809487068876E+018,pnddkbumi20
1.79690923129328E+018,Sat Jun 01 14:18:40 +0000 2024,0,buat diri sendiri tolong jgn bikin duit ortu lu sia sia ya membayar ukt yg sangat mahal itu semangat intinya jgn stress,1.79690923129328E+018,,,in,,0,0,0,https://x.com/nightthinkerr_/status/1796909231293280353,1.23912913464042E+018,nightthinkerr_
1.79690863258993E+018,Sat Jun 01 14:16:17 +0000 2024,0,[cm] tadi pas solat maghrib sedih bgt sampe nangis dikit soalnya masih belum sepenuhnya ikhlas kalo kenyataannya gue harus cuti di semester 6 ini pdhl 5 hr lg mau uts dan gue lg nyusun penelitian ilmiah posisinya gue kelas reguler ukt bayar sendiri hampir 2 (cont..),1.79690863258993E+018,,,in,,0,1,0,https://x.com/collegemenfess/status/1796908632589926489,1.0460840087428E+018,collegemenfess
